doc_id,url
cuisine-solutions-ammonia-release-,https://www.csb.gov/file.aspx?DocumentId=6304
ts-usa-molten-salt-eruption,https://www.csb.gov/file.aspx?DocumentId=6296
honeywell-geismar-chlorine-and-hydrogen-fluoride-releases,https://www.csb.gov/file.aspx?DocumentId=6295
marathon-martinez-renewable-fuels-fire-,https://www.csb.gov/file.aspx?DocumentId=6286
csb-safety-study-remote-isolation-of-process-equipment,https://www.csb.gov/file.aspx?DocumentId=6280
bp-husky-oregon-chemical-release-and-fire-,https://www.csb.gov/file.aspx?DocumentId=6275
wendland-1h-well-fatal-explosion-,https://www.csb.gov/file.aspx?DocumentId=6267
kmco-llc-fatal-fire-and-explosion-,https://www.csb.gov/file.aspx?DocumentId=6265
foundation-food-group-fatal-chemical-release-,https://www.csb.gov/file.aspx?DocumentId=6269
didion-milling-company-explosion-and-fire-,https://www.csb.gov/file.aspx?DocumentId=6240
yenkin-majestic-resin-plant-vapor-cloud-explosion-and-fire,https://www.csb.gov/file.aspx?DocumentId=6239
intercontinental-terminals-company-itc-tank-fire,https://www.csb.gov/file.aspx?DocumentId=6230
optima-belle-explosion-and-fire,https://www.csb.gov/file.aspx?DocumentId=6238
watson-grinding-fatal-explosion-and-fire-,https://www.csb.gov/assets/recommendation/Status_Change_Summary_CGA_(Watson_R1)_C-AA.pdf
wacker-polysilicon-chemical-release,https://www.csb.gov/file.aspx?DocumentId=6237
lyondellbasell-la-porte-fatal-chemical-release-,https://www.csb.gov/file.aspx?DocumentId=6222
bio-lab-lake-charles-chemical-fire-and-release-,https://www.csb.gov/file.aspx?DocumentId=6272
kuraray-pasadena-release-and-fire,https://www.csb.gov/file.aspx?DocumentId=6204
tpc-port-neches-explosions-and-fire,https://www.csb.gov/file.aspx?DocumentId=6203
philadelphia-energy-solutions-pes-refinery-fire-and-explosions-,https://www.csb.gov/file.aspx?DocumentId=6202
sunoco-logistics-partners-flash-fire,https://www.csb.gov/file.aspx?DocumentId=6186
loy-lange-box-company-pressure-vessel-explosion-,https://www.csb.gov/file.aspx?DocumentId=6180
ab-specialty-silicones-llc,https://www.csb.gov/file.aspx?DocumentId=6220
evergreen-packaging-paper-mill-fire-during-hot-work,https://www.csb.gov/file.aspx?DocumentId=6161
aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-,https://www.csb.gov/file.aspx?DocumentId=6160
midland-resource-recovery-explosion-,https://www.csb.gov/file.aspx?DocumentId=6121
dupont-la-porte-facility-toxic-chemical-release-,https://www.csb.gov/file.aspx?DocumentId=6124
pryor-trust-fatal-gas-well-blowout-and-fire,https://www.csb.gov/file.aspx?DocumentId=6112
enterprise-pascagoula-gas-plant-explosion-and-fire-,https://www.csb.gov/file.aspx?DocumentId=6106
arkema-inc-chemical-plant-fire-,https://www.csb.gov/file.aspx?DocumentId=6078
packaging-corporation-of-america-hot-work-explosion-,https://www.csb.gov/file.aspx?DocumentId=6144
mgpi-processing-inc-toxic-chemical-release-,https://www.csb.gov/file.aspx?DocumentId=6047
exxonmobil-baton-rouge-refinery-chemical-release-and-fire,https://www.csb.gov/file.aspx?DocumentId=6045
delaware-city-refining-company,https://www.csb.gov/file.aspx?DocumentId=6039
freedom-industries-chemical-release-,https://www.csb.gov/file.aspx?DocumentId=6036
airgas-facility-fatal-explosion-,https://www.csb.gov/file.aspx?DocumentId=6137
williams-olefins-plant-explosion-and-fire-,https://www.csb.gov/file.aspx?DocumentId=6004
tesoro-martinez-sulfuric-acid-spill,https://www.csb.gov/file.aspx?DocumentId=5999
macondo-blowout-and-explosion,https://www.csb.gov/file.aspx?DocumentId=6053
west-fertilizer-explosion-and-fire-,https://www.csb.gov/file.aspx?DocumentId=5983
caribbean-petroleum-corporation-capeco-refinery-tank-explosion-and-fire,https://www.csb.gov/file.aspx?DocumentId=5965
horsehead-holding-company-fatal-explosion-and-fire,https://www.csb.gov/file.aspx?DocumentId=5938
chevron-richmond-refinery-fire,https://www.csb.gov/file.aspx?DocumentId=5917
millard-refrigerated-services-ammonia-release,https://www.csb.gov/file.aspx?DocumentId=5933
us-ink-fire,https://www.csb.gov/file.aspx?DocumentId=5939
key-lessons-for-preventing-incidents-from-flammable-chemicals-in-educational-dem,https://www.csb.gov/file.aspx?DocumentId=6044
al-solutions-fatal-dust-explosion,https://www.csb.gov/file.aspx?DocumentId=5884
tesoro-anacortes-refinery-fatal-explosion-and-fire-,https://www.csb.gov/file.aspx?DocumentId=5851
silver-eagle-refinery-flash-fire-and-explosion-and-catastrophic-pipe-explosion,https://www.csb.gov/file.aspx?DocumentId=5926
